208,10.56.35.254,Centros Sociales Comunitarios | Láchar - Peñuelas
209,10.56.103.254,Centros Sociales Comunitarios | Santa Fe - El Jau
210,10.56.101.254,Centros Sociales Comunitarios | Santa Fe - Pedro Ruiz
211,10.56.30.254,Centros Sociales Comunitarios | Cájar - Bellavista
212,10.56.2.254,Centros Sociales Comunitarios | Sierra Nevada
213,10.56.14.254,Centro Municipal de Igualdad y Servicios Sociales | La Zubia
214,10.56.8.254,Centros Sociales Comunitarios | Valle de Lecrín - Ogíjares - Dúrcal
215,10.56.1.254,Centros Sociales Comunitarios | Vega - Temple - Las Gabias
216,10.56.16.254,Centros Sociales Comunitarios | Atarfe
217,10.56.4.254,Centros Sociales Comunitarios | Vegas Altas
218,10.6.1.254,Centro Provincial de Drogodependencias
219,10.6.9.254,Drogodependencias | Albolote (Cárcel provincial)
220,10.6.8.254,Centro de Tratamiento Ambulatorio | Almuñécar
221,10.6.3.254,Centro Comarcal de Drogodependencias Ad-Hoc | Baza
222,10.6.6.254,Drogodependencias COIS Centro
223,10.6.2.254,Centro de Atención a Drogodependientes COIS Norte
224,10.6.5.254,Centro Comarcal de Tratamiento a las Adicciones | Guadix
225,10.6.4.254,Centro de Tratamiento Ambulatorio | Loja
226,10.6.7.254,Centro de Tratamiento Ambulatorio | Motril
227,10.20.1.254,Casa Molino Ángel Ganivet
228,10.155.48.254,Oficina Catastro | Granada
229,10.100.179.254,CEMCI
230,10.20.3.254,Centro José Guerrero
231,10.57.2.254,Granja la Cartuja | Albolote
232,10.22.1.254,Laboratorio Medio Ambiente + Vivero provincial
235,10.91.2.254,Oficina Urbanismo | Baza
236,10.91.3.254,Oficina Urbanismo | Dúrcal
237,10.20.2.254,Patronato García Lorca
238,10.155.1.254,Oficina Recaudación | Albolote
239,10.155.43.254,Oficina Recaudación | Alhama
240,10.155.36.254,Oficina Recaudación | Baza
241,10.155.35.254,Oficina Recaudación | Guadix
242,10.155.37.254,Oficina Recaudación | Huéscar
243,10.155.41.254,Oficina Recaudación | Íllora
244,10.155.38.254,Oficina Recaudación | Iznalloz
245,10.155.45.254,Oficina Recaudación | La Zubia
246,10.155.44.254,Oficina Recaudación | Loja
247,10.155.47.254,Oficina Recaudación | Órgiva
248,10.155.42.254,Oficina Recaudación | Santa Fe
249,10.10.1.254,RESUR
250,10.2.10.254,Sede | Planta 1-0
251,10.2.11.254,Sede | Planta 1-1
252,10.2.12.254,Sede | Planta 1-2
253,10.2.21.254,Sede | Planta 2-1
254,10.2.22.254,Sede | Planta 2-2
255,10.2.31.254,Sede | Planta 3-1
256,10.2.32.254,Sede | Planta 3-2
257,10.2.41.254,Sede | Planta 4-1
258,10.2.42.254,Sede | Planta 4-2
259,10.2.50.254,Sede | Planta 5-0
261,10.100.162.254,Villamena - Cozvíjar
262,10.7.4.254,Residencia de mayores Rodríguez Penalba
263,10.57.47.254,Central | Pruebas ADSL
264,10.57.47.254,Central | Pruebas FTTH
265,10.155.51.254,Oficina Recaudación | Almuñécar
266,10.155.49.254,Oficina Recaudación | Albuñol
267,10.20.4.254,Casa morisca de Horno del Oro
268,10.100.181.254,Agencia Provincial de Extinción de Incendios | Baza
269,10.100.251.254,Casa Cuna
270,10.100.250.254,Central | Nodos C 2
271,10.100.182.254,Mancomunidad de municipios Marquesado del Zenete
272,10.15.1.254,Colegio de Niñas Nobles
273,10.99.1.254,Parque Móvil de Diputación de Granada
274,10.77.3.254,Oficina Deportes | Vegatem y Sierra Nevada
275,10.56.33.254,Centros Sociales Comunitarios | Monachil
276,10.77.4.254,Oficina Deportes | Los Montes -El Mencal - Montes Orientales
277,10.155.50.254,Oficina Recaudación | La Herradura
278,10.77.5.254,Oficina Deportes | La Sagra y Jabalcón
279,10.77.1.254,Oficina Deportes | Río Fardes y Marquesado
280,10.77.7.254,Oficina Deportes | La Alpujarra Oriental y Occidental
281,10.77.6.254,Oficina Deportes | Costa-Contraviesa y Valle de Lecrín
282,10.77.2.254,Oficina Deportes | Albolote
283,10.77.10.254,Oficina Deportes | Ugíjar
284,10.77.8.254,Oficina Deportes | Alhama de Granada
285,10.77.9.254,Oficina Deportes | Villanueva de Mesía
287, ,Mancomunidad de Municipios de la Alpujarra Granadina
288, ,Mancomunidad de Municipios Comarca de Huéscar
289,10.100.185.254,Mancomunidad de Municipios Ribera Baja del Genil
290,10.100.183.254,Consorcio Vega - Sierra Elvira
291, ,Consorcio para el Desarrollo Montes Orientales
292, ,Consorcio para el Desarrolo Rural del Poniente Granadino
293,10.100.184.254,Jefatura de Policía | Loja
294, ,Consorcio Sierra Nevada - Vega Sur
